manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,review,rating,rating_category,B,S,S*,C,V,L,Sa,Cluster
A. Morin,France,2014,Cuba,Cuba,70.0,4.0,"sliglty dry, papaya",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70.0,4.0,"nutty, mild choco, roasty",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,4.0,"astringent, nutty, chocolatey",3.75,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2014,Peru,Pablino,70.0,4.0,"delicate, hazelnut, brownie",4.0,Outstanding,1,1,1,1,0,1,0,1
A. Morin,France,2015,Togo,Kpime,70.0,4.0,"burnt wood, earthy, choco",2.75,Disappointing,1,1,1,1,0,1,0,1
A. Morin,France,2015,Togo,Atsane,70.0,4.0,"roasty, acidic, nutty",3.0,Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2015,Togo,Akata,70.0,4.0,"mild profile, chocolaty, spice",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2015,Peru,Quilla,70.0,4.0,"grainy texture, cocoa, sweet",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2016,Sao Tome,Agua Grande,63.0,4.0,"sweet, chocolatey, vegetal",3.75,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2018,Venezuela,Porcelana,70.0,4.0,"alluring aroma, powdery,nutty",3.5,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2018,Peru,Absolu,63.0,4.0,"sweet, dairy, spice, cocoa",3.75,Highly Recommended,1,1,1,1,0,1,0,1
A. Morin,France,2021,Mexico,La Joya,70.0,4.0,"light color, fruit, yogurt",4.0,Outstanding,1,1,1,1,0,1,0,1
Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,2.0,yellow fruit,3.75,Highly Recommended,1,1,1,0,0,0,0,0
Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",70.0,2.0,"intense, nutty, cherry, cocoa",3.75,Highly Recommended,1,1,1,0,0,0,0,0
Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,2.0,"herbal, molasses, hammy",3.25,Recommended,1,1,1,0,0,0,0,0
Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,2.0,"hot cocoa, rich, molasses",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,3.0,"sweet, sublte strawberry",2.75,Disappointing,1,1,1,1,0,0,0,2
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.0,spicy and candy-like,3.25,Recommended,1,1,1,1,0,0,0,2
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.0,"orange, floral, lemon",3.5,Highly Recommended,1,1,1,1,0,0,0,0
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.0,cocoa and powerful tang,3.5,Highly Recommended,1,1,1,1,0,0,0,2
Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.0,"unrefined, sweet, metallic",2.5,Disappointing,1,1,1,0,0,0,0,0
Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.0,"basic, sweet, cocoa, woody",2.75,Disappointing,1,1,1,0,0,0,0,0
Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.0,"sweet, cocoa, rubbery",2.75,Disappointing,1,1,1,0,0,0,0,0
Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,2.0,"sandy, woody, spicy, sweet",3.0,Recommended,1,1,1,0,0,0,0,0
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,4.0,"sandy, sweet, banana cream",2.75,Disappointing,1,1,1,1,1,0,0,1
Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,4.0,"roasty, nutty, coffee",3.0,Recommended,1,1,1,1,1,0,0,1
Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,"gritty, spice, cocoa",3.0,Recommended,1,1,1,1,0,0,0,2
Akesson's (Pralus),U.K.,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,4.0,"strong pepper, musty",2.75,Disappointing,1,1,1,1,0,1,0,1
Akesson's (Pralus),U.K.,2010,Brazil,"Monte Alegre, D. Badero",75.0,4.0,"fatty, intense, woody",2.75,Disappointing,1,1,1,1,0,1,0,1
Akesson's (Pralus),U.K.,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,4.0,"hay, nut, berry",3.75,Highly Recommended,1,1,1,1,0,1,0,1
Alain Ducasse,France,2013,Venezuela,Chuao,75.0,5.0,"sandy, dirt, ashey",2.5,Disappointing,1,1,1,1,1,1,0,1
Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,5.0,"cardboard, dirt, roasty",2.5,Disappointing,1,1,1,1,1,1,0,1
Alain Ducasse,France,2014,Trinidad,Trinite,65.0,6.0,"roasty, sweet, savory",2.75,Disappointing,1,1,1,1,1,1,1,1
Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,5.0,"nutty, roasty, odd dairy",2.75,Disappointing,1,1,1,1,1,0,1,1
Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,5.0,"citrus, fatty, dairy",3.0,Recommended,1,1,1,1,1,0,1,1
Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,6.0,"strawberry, cream, gateway",3.5,Highly Recommended,1,1,1,1,1,1,1,1
Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.0,"sandy, green, floral",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.0,"sandy, sweet, nibby",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.0,"sandy, melon, banana",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.0,"sandy, sweet, roasty",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,60.0,4.0,"sweet, moldy, off",2.5,Disappointing,1,1,1,1,0,1,0,1
Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",60.0,4.0,"sandy, sweet, dairy, spice",3.0,Recommended,1,1,1,1,0,1,0,1
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",60.0,4.0,"grit, sweet, caramel, fruit",3.0,Recommended,1,1,1,1,0,1,0,1
Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",80.0,4.0,"gritty, berry, mild bitter",3.25,Recommended,1,1,1,1,0,1,0,2
Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",60.0,4.0,"gritty, too sweet, fruit",3.25,Recommended,1,1,1,1,0,1,0,1
Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,60.0,3.0,"sandy, sweet, pungent",2.5,Disappointing,1,1,1,1,0,0,0,2
Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,60.0,3.0,"sandy, sweet, sour, off",2.5,Disappointing,1,1,1,1,0,0,0,2
Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,60.0,3.0,"powdery, sweet, molasses",2.75,Disappointing,1,1,1,1,0,0,0,2
Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,60.0,3.0,"sandy, nutty, earthy, roasty",2.75,Disappointing,1,1,1,1,0,0,0,2
Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,60.0,3.0,"dry, sweet, caramel",3.0,Recommended,1,1,1,1,0,0,0,2
Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,70.0,3.0,"sweet, coarse, nutty",3.0,Recommended,1,1,1,1,0,0,0,2
Amano,U.S.A.,2007,Venezuela,Cuyagua,70.0,4.0,"waxy, nutty, mint",3.0,Recommended,1,1,1,1,1,0,0,1
Amano,U.S.A.,2007,Madagascar,Madagascar,70.0,4.0,"spice, nut, cocoa, fruit",3.5,Highly Recommended,1,1,1,1,1,0,0,1
Amano,U.S.A.,2007,Venezuela,Ocumare,70.0,4.0,"spicy, strawberry",3.75,Highly Recommended,1,1,1,1,1,0,0,1
Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",70.0,4.0,"sticky, nutty, high acidity",2.75,Disappointing,1,1,1,1,1,0,0,1
Amano,U.S.A.,2009,Venezuela,Montanya,70.0,4.0,"hot spice, roasty",3.0,Recommended,1,1,1,1,1,0,0,1
Amano,U.S.A.,2010,Venezuela,Chuao,70.0,4.0,"woody, red berry, sour",3.0,Recommended,1,1,1,1,1,0,0,1
Amano,U.S.A.,2010,Dominican Republic,Dos Rios,70.0,4.0,"orange, cinamon",3.75,Highly Recommended,1,1,1,1,1,0,0,1
Amano,U.S.A.,2010,Ecuador,Guayas,70.0,4.0,"strong spice, intense pepper",4.0,Outstanding,1,1,1,1,1,0,0,1
Amano,U.S.A.,2011,Papua New Guinea,Morobe,70.0,4.0,"tart, lemon, smoke",4.0,Outstanding,1,1,1,1,1,0,0,1
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.0,"waxy mouthfeel, spicy",2.75,Disappointing,1,1,1,0,0,0,0,0
Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.0,"fatty, mushroom, off notes",2.75,Disappointing,1,1,1,0,0,0,0,0
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,2.0,"dry, chalky, fudge-like",3.0,Recommended,1,1,1,0,0,0,0,0
Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,2.0,"roasty,oddly sweet,marshmallow",3.0,Recommended,1,1,1,0,0,0,0,0
Amazing Cacao,Russia,2017,Peru,Maranon,70.0,3.0,"raisins, pungent",3.0,Recommended,1,1,1,1,0,0,0,2
Amazing Cacao,Russia,2017,Peru,Platan Bajo,70.0,3.0,"few grits, blackcherry, licorice",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.0,"oily, vanilla, melon, cocoa",3.25,Recommended,1,1,1,1,0,0,0,2
Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.0,"oily, vegetal, nutty, cocoa",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Ambrosia,Canada,2015,Belize,Belize,64.0,4.0,"roasty, brownie, nutty",3.0,Recommended,1,1,1,1,0,1,0,1
Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,2.0,"fruity, sour",3.25,Recommended,1,1,1,0,0,0,0,0
Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,75.0,2.0,"high roast, high astringnet",3.25,Recommended,1,1,1,0,0,0,0,0
Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,63.0,2.0,"smokey, savory",3.25,Recommended,1,1,1,0,0,0,0,0
Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,2.0,"sandy, roasty, nutty",3.25,Recommended,1,1,1,0,0,0,0,0
Ambrosia,Canada,2015,Peru,Peru,68.0,2.0,"rich, sour, mild smoke",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Amedei,Italy,2006,Blend,Toscano Black,66.0,4.0,"red wine, rich cocoa, long",3.75,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2007,Ecuador,Ecuador,70.0,4.0,"creamy, earthy, vegetal",3.0,Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2007,Jamaica,Jamaica,70.0,4.0,"sandy, woody, spicy",3.0,Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2007,Grenada,Grenada,70.0,4.0,fruity with coffee notes,3.5,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2007,Trinidad,Trinidad,70.0,4.0,"coffee, fruit, woodsy",3.5,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2007,Blend,Toscano Black,63.0,4.0,"fatty, dairy, caramel, cocoa",3.5,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2007,Venezuela,Venezuela,70.0,4.0,"creamy, fruit, cocoa",3.75,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,4.0,"creamy, raspberry, nutty",3.75,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2018,Madagascar,Madagascar,70.0,4.0,"vanilla, mint, roasty",3.0,Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2018,Venezuela,Chuao,70.0,4.0,"vanilla, nuts, roasty",3.0,Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2018,Venezuela,Porcelana,70.0,4.0,"nutty, mild roasty, vanilla",3.0,Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2018,Blend,Nine,75.0,4.0,"sweet, delicate, complex",3.5,Highly Recommended,1,1,1,1,1,0,0,1
Amedei,Italy,2019,Blend,Toscano Black,70.0,3.0,"nut, fatty, rubbery, rich",2.75,Disappointing,1,1,1,1,0,0,0,2
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,4.0,"creamy, red berry, bitter",2.75,Disappointing,1,1,1,1,0,1,0,2
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,4.0,"very sweet, bright red, banana",3.75,Highly Recommended,1,1,1,1,0,1,0,1
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,4.0,"roasty, fatty, nutty, coffee",3.75,Highly Recommended,1,1,1,1,0,1,0,1
AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,"creamy, sweet,cocoa,banana",4.0,Outstanding,1,1,1,1,0,1,0,1
AMMA,Brazil,2013,Brazil,Catongo,75.0,4.0,"grainy, sweet, poor aftertaste",3.25,Recommended,1,1,1,1,0,1,0,1
Anahata,U.S.A.,2014,Dominican Republic,Elvesia,75.0,2.0,"chalky, mild fruit, burnt",3.0,Recommended,1,1,1,0,0,0,0,0
Animas,U.S.A.,2016,Bolivia,Alto Beni,75.0,2.0,"light roast, caramel, cocoa",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",75.0,2.0,"burnt toast, cherry",3.0,Recommended,1,1,1,0,0,0,0,0
Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75.0,2.0,"orange citrus, harsh earthiness",3.25,Recommended,1,1,1,0,0,0,0,0
Ara,France,2014,Mexico,Chiapas,72.0,3.0,"earthy, sour milk, leather",2.5,Disappointing,1,1,1,1,0,0,0,2
Ara,France,2014,Ecuador,Equateur,75.0,3.0,"bitter, floral, leather",2.75,Disappointing,1,1,1,1,0,0,0,2
Ara,France,2014,Madagascar,Madagascar,75.0,3.0,"sandy, fruity, short",3.0,Recommended,1,1,1,1,0,0,0,2
Ara,France,2014,Venezuela,Trincheras,75.0,3.0,"nutty, mild spice, mild earthy",3.0,Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2015,Brazil,Fazenda Camboa,75.0,2.0,"floral, chemical off",2.75,Disappointing,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Guatemala,Guatemala,70.0,2.0,"strawberry, butterscotch, off",3.25,Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Brazil,Fazenda Camboa,70.0,2.0,"creamy, rich, rum, roasty",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Peru,Nacional,68.0,2.0,"floral, nutty, rich cocoa",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,70.0,2.0,"spicy, brownie, nutty",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Ecuador,Camino Verde,75.0,3.0,"intense, floral, bourbon",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",70.0,2.0,"spicy, cocoa",3.75,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Belize,Maya Mountain,70.0,2.0,"floral, strawberry, metallic",3.75,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2015,Nicaragua,Chuno,70.0,2.0,"creamy,sticky, peanut butter",4.0,Outstanding,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,70.0,3.0,"sticky, floral, roasty",3.25,Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,70.0,3.0,"chewy, mild floral",3.25,Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2016,Fiji,Matasawalevu,70.0,2.0,"smoke, hammy, cocoa base",3.25,Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Vietnam,Lam Dong,73.0,2.0,"earthy, nutty, cardboard",3.25,Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Trinidad,San Juan,70.0,2.0,"delicate, simple",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Vietnam,Tien Giang,73.0,3.0,"cashew, roasty, chunky melt",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2016,Guatemala,Lachua,70.0,2.0,"subtle, mysterious",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",70.0,2.0,"nutty, green",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,70.0,2.0,"appealing smoke, woody",3.75,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Nicaragua,Rugoso,70.0,3.0,"muddy, rich cocoa, raspberry",3.75,Highly Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2016,Dominican Republic,Elvesia,70.0,2.0,"dark berry, chocolatey",3.75,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",70.0,2.0,"balanced, cherry, choco",4.0,Outstanding,1,1,1,0,0,0,0,0
Arete,U.S.A.,2016,Peru,Phantom,70.0,2.0,"creamy, complex, balanced",4.0,Outstanding,1,1,1,0,0,0,0,0
Arete,U.S.A.,2017,India,Anamalai,70.0,2.0,"slight roasty, basic cocoa",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2017,Madagascar,Sambirano Valley,70.0,3.0,sour fruit,3.5,Highly Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2017,Vietnam,Ben Tre,73.0,3.0,"rich cocoa, mild roasty",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2017,Peru,Ucayali,70.0,3.0,"dried fruit, fig, anise",3.5,Highly Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2017,Bolivia,Beniano,70.0,2.0,"creamy, bright fruit",4.0,Outstanding,1,1,1,0,0,0,0,0
Arete,U.S.A.,2017,Haiti,Pisa,70.0,2.0,"long lasting, cocoa",4.0,Outstanding,1,1,1,0,0,0,0,0
Arete,U.S.A.,2018,Trinidad,Ramnath E.,70.0,2.0,"nuts, dried fruit, short",3.0,Recommended,1,1,1,0,0,0,0,0
Arete,U.S.A.,2018,Colombia,Tumaco,70.0,2.0,"smooth, nutty, cocoa",4.0,Outstanding,1,1,1,0,0,0,0,0
Arete,U.S.A.,2019,India,Idukki,70.0,3.0,"burn butterscotch, rubbery",3.0,Recommended,1,1,1,1,0,0,0,2
Arete,U.S.A.,2019,India,Jangareddygudem,70.0,3.0,"herbs, mushroom, acidic",3.25,Recommended,1,1,1,1,0,0,0,2
Argencove,Nicaragua,2018,Nicaragua,Apoyo,70.0,2.0,"cocoa, earthy, hammy",3.0,Recommended,1,1,1,0,0,0,0,0
Argencove,Nicaragua,2018,Nicaragua,Masaya,70.0,2.0,"melon, late hammy",3.25,Recommended,1,1,1,0,0,0,0,0
Argencove,Nicaragua,2018,Nicaragua,Mombacho,70.0,2.0,"smooth, vegetal",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70.0,2.0,"roasty, rich cocoa",3.5,Highly Recommended,1,1,1,0,0,0,0,0
Artisan du Chocolat,U.K.,2008,Congo,Congo,72.0,3.0,"spicy, minty, vegetal",3.75,Highly Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2009,Brazil,Brazil Rio Doce,72.0,3.0,"cocoa, dominate off note",1.75,Unpleasant,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2009,Venezuela,"Ocumare, Venezuela",75.0,3.0,"oily, nutty, burnt, sour",2.5,Disappointing,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2009,Indonesia,Java,72.0,3.0,"gritty, very smokey, sour",2.75,Disappointing,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2009,Madagascar,Madagascar,80.0,3.0,"sl. bitter, cherry, rich",3.0,Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2009,Peru,Peru,75.0,3.0,"spicey, mild metallic",3.0,Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2009,Dominican Republic,Dominican Republic,72.0,3.0,"spice, cocoa, short",3.25,Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,100.0,3.0,"very nutty, very bitter",1.75,Unpleasant,1,1,1,1,0,0,0,0
Artisan du Chocolat,U.K.,2010,Costa Rica,Costa Rica,72.0,3.0,"chewy, grassy, nutty",3.25,Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2010,Vietnam,Ba Ria Vung Tau Province,72.0,3.0,"unrefined, distinct spicey",3.25,Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2010,Indonesia,Bali,72.0,3.0,black pepper and banana,3.5,Highly Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2010,Jamaica,Jamaica,72.0,3.0,"grassy, black licorice, mint",3.75,Highly Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2011,Panama,Panama,72.0,3.0,"blackpepper,chemical,rubber",2.75,Disappointing,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2011,Haiti,Haiti,72.0,3.0,"nuts, butterscotch, brownie",4.0,Outstanding,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2012,Colombia,"Colombia, Casa Luker",72.0,3.0,"marshmallow, roasty, nutty",3.75,Highly Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat,U.K.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72.0,3.0,"gritty, nutty",3.25,Recommended,1,1,1,1,0,0,0,2
Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,"Orinoqua Region, Arauca",72.0,4.0,"creamy, marshmallow, off",2.75,Disappointing,1,1,1,1,0,1,0,1
Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221",72.0,4.0,"cinamon, nutmeg, fatty",3.25,Recommended,1,1,1,1,0,1,0,1
Aruntam,Italy,2021,Madagascar,"Bejofo E., Akesson, lot MA72820",72.0,4.0,"strawberry, sour",3.25,Recommended,1,1,1,1,0,1,0,1
Aruntam,Italy,2021,Tanzania,"Kokoa Kamili, lot TZ72199",72.0,4.0,"caramel, sour milk",3.5,Highly Recommended,1,1,1,1,0,1,0,1
Askinosie,U.S.A.,2007,Mexico,Xoconusco,75.0,2.0,"leather, black licorice, off",2.5,Disappointing,1,1,1,0,0,0,0,0
Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,70.0,2.0,"smooth, astringent, cocoa",3.0,Recommended,1,1,1,0,0,0,0,0
